subject_id,task,data.value
44121904,T2,[{'9': 3}]
44121904,T4,[{'7': 3}]
44121904,T7,[{'7': 2}]
44121904,T8,[{'12': 3}]
44121904,T10,[{'6': 3}]
44121904,T11,[{'7': 3}]
44121904,T13,[{'7': 3}]
44121904,T14,[{'2': 3}]
44121904,T15,[{'14': 3}]
44121904,T16,[{'7': 3}]
44121904,T17,[{'6': 3}]
44121904,T19,[{'12': 3}]
44121904,T20,[{'7': 3}]
44121904,T21,[{'14': 3}]
44121904,T22,[{'7': 3}]
44121904,T23,[{'6': 3}]
44121904,T25,[{'7': 3}]
44121904,T26,[{'2': 3}]
44121904,T27,"[{'10': 1, '6': 2}]"
44121904,T28,[{'7': 3}]
44121904,T29,[{'7': 3}]
44121906,T1,[{'7': 3}]
44121906,T2,[{'14': 3}]
44121906,T3,[{'14': 3}]
44121906,T4,[{'15': 3}]
44121906,T5,[{'7': 3}]
44121906,T7,[{'7': 3}]
44121906,T8,[{'7': 3}]
44121906,T9,"[{'14': 1, '15': 2}]"
44121906,T10,[{'14': 3}]
44121906,T11,[{'14': 3}]
44121906,T13,[{'7': 3}]
44121906,T14,[{'2': 3}]
44121906,T15,[{'14': 3}]
44121906,T16,[{'7': 3}]
44121906,T17,[{'7': 3}]
44121906,T19,[{'7': 3}]
44121906,T20,"[{'10': 2, '15': 1}]"
44121906,T21,"[{'14': 2, '7': 1}]"
44121906,T22,[{'2': 3}]
44121906,T23,[{'6': 3}]
44121906,T25,[{'7': 3}]
44121906,T26,[{'7': 3}]
44121906,T27,"[{'14': 1, '15': 2}]"
44121906,T28,[{'12': 3}]
44121906,T29,[{'7': 3}]
44121907,T1,[{'7': 3}]
44121907,T2,[{'14': 3}]
44121907,T3,[{'14': 3}]
44121907,T4,"[{'6': 1, '15': 2}]"
44121907,T5,[{'2': 3}]
44121907,T7,"[{'6': 1, '7': 1, '15': 1}]"
44121907,T8,[{'7': 3}]
44121907,T9,[{'7': 3}]
44121907,T10,[{'7': 3}]
44121907,T11,"[{'7': 1, '14': 2}]"
44121907,T13,[{'14': 3}]
44121907,T14,[{'7': 3}]
44121907,T15,[{'6': 3}]
44121907,T16,[{'7': 3}]
44121907,T17,[{'7': 3}]
44121907,T19,[{'7': 3}]
44121907,T20,[{'7': 3}]
44121907,T21,[{'7': 3}]
44121907,T22,"[{'7': 1, '14': 2}]"
44121907,T23,"[{'7': 1, '14': 2}]"
44121907,T25,[{'6': 3}]
44121907,T26,[{'12': 3}]
44121907,T27,[{'14': 3}]
44121907,T28,[{'14': 3}]
44121907,T29,[{'14': 3}]
44121908,T1,[{'6': 3}]
44121908,T2,[{'7': 3}]
44121908,T3,[{'7': 3}]
44121908,T4,[{'8': 3}]
44121908,T5,[{'7': 3}]
44121908,T7,[{'14': 3}]
44121908,T8,[{'14': 3}]
44121908,T9,[{'14': 3}]
44121908,T10,[{'7': 3}]
44121908,T11,[{'14': 3}]
44121908,T13,[{'2': 3}]
44121908,T14,[{'6': 3}]
44121908,T15,[{'7': 3}]
44121908,T16,"[{'14': 1, '8': 2}]"
44121908,T17,[{'14': 3}]
44121908,T19,[{'13': 3}]
44121908,T20,[{'7': 3}]
44121908,T21,[{'7': 3}]
44121908,T22,[{'7': 3}]
44121908,T23,[{'7': 3}]
44121908,T25,[{'12': 3}]
44121908,T26,[{'7': 3}]
44121908,T27,[{'7': 3}]
44121908,T28,[{'6': 3}]
44121908,T29,[{'7': 3}]
44121910,T1,[{'12': 3}]
44121910,T2,[{'7': 3}]
44121910,T3,[{'14': 3}]
44121910,T4,[{'8': 3}]
44121910,T5,[{'7': 3}]
44121910,T7,[{'14': 3}]
44121910,T8,[{'2': 3}]
44121910,T9,[{'7': 3}]
44121910,T10,[{'12': 3}]
44121910,T11,[{'6': 3}]
44121910,T13,[{'7': 3}]
44121910,T14,[{'14': 3}]
44121910,T15,[{'7': 3}]
44121910,T16,[{'12': 3}]
44121910,T17,[{'7': 3}]
44121910,T19,[{'13': 3}]
44121910,T20,[{'7': 3}]
44121910,T21,[{'6': 3}]
44121910,T22,[{'6': 3}]
44121910,T23,[{'7': 3}]
44121910,T25,[{'8': 3}]
44121910,T26,[{'8': 3}]
44121910,T27,[{'7': 3}]
44121910,T28,[{'7': 3}]
44121910,T29,[{'15': 3}]
44121912,T1,[{'15': 3}]
44121912,T2,[{'14': 3}]
44121912,T3,[{'8': 3}]
44121912,T4,[{'7': 3}]
44121912,T5,[{'7': 3}]
44121912,T7,[{'7': 3}]
44121912,T8,[{'8': 3}]
44121912,T9,[{'10': 3}]
44121912,T10,[{'12': 3}]
44121912,T11,[{'8': 3}]
44121912,T13,[{'14': 3}]
44121912,T14,[{'8': 3}]
44121912,T15,[{'14': 3}]
44121912,T16,[{'14': 3}]
44121912,T17,[{'14': 3}]
44121912,T19,[{'7': 3}]
44121912,T20,[{'14': 3}]
44121912,T21,[{'2': 3}]
44121912,T22,[{'8': 3}]
44121912,T23,[{'7': 3}]
44121912,T25,[{'10': 3}]
44121912,T26,[{'14': 3}]
44121912,T27,[{'13': 3}]
44121912,T28,[{'14': 3}]
44121912,T29,[{'14': 3}]
44121914,T1,[{'14': 3}]
44121914,T2,[{'7': 3}]
44121914,T3,[{'6': 3}]
44121914,T4,[{'7': 3}]
44121914,T5,[{'12': 3}]
44121914,T7,[{'14': 3}]
44121914,T8,[{'14': 3}]
44121914,T9,[{'14': 3}]
44121914,T10,[{'7': 3}]
44121914,T11,[{'8': 3}]
44121914,T13,[{'6': 3}]
44121914,T14,[{'14': 3}]
44121914,T15,[{'7': 3}]
44121914,T16,[{'7': 3}]
44121914,T17,[{'6': 3}]
44121914,T19,[{'6': 3}]
44121914,T20,[{'14': 3}]
44121914,T21,[{'10': 3}]
44121914,T22,[{'15': 3}]
44121914,T23,[{'1': 3}]
44121914,T25,[{'14': 3}]
44121914,T26,[{'2': 3}]
44121914,T27,[{'6': 3}]
44121914,T28,[{'7': 3}]
44121914,T29,[{'7': 3}]
44121915,T1,[{'7': 3}]
44121915,T2,[{'7': 3}]
44121915,T3,[{'14': 3}]
44121915,T4,[{'8': 3}]
44121915,T5,[{'15': 3}]
44121915,T7,[{'12': 3}]
44121915,T8,[{'8': 3}]
44121915,T9,[{'8': 3}]
44121915,T10,[{'7': 3}]
44121915,T11,[{'7': 3}]
44121915,T13,[{'14': 3}]
44121915,T14,[{'14': 3}]
44121915,T15,[{'8': 3}]
44121915,T16,[{'6': 3}]
44121915,T17,"[{'4': 1, '15': 2}]"
44121915,T19,[{'2': 3}]
44121915,T20,[{'15': 3}]
44121915,T21,[{'14': 3}]
44121915,T22,[{'7': 3}]
44121915,T23,[{'12': 3}]
44121915,T25,[{'8': 3}]
44121915,T26,[{'14': 3}]
44121915,T27,[{'8': 3}]
44121915,T28,[{'13': 3}]
44121915,T29,[{'14': 3}]
44121918,T1,[{'7': 3}]
44121918,T2,[{'8': 3}]
44121918,T3,[{'10': 3}]
44121918,T4,[{'14': 3}]
44121918,T5,[{'12': 3}]
44121918,T7,[{'2': 3}]
44121918,T8,[{'14': 3}]
44121918,T9,[{'7': 3}]
44121918,T10,[{'2': 3}]
44121918,T11,[{'7': 3}]
44121918,T13,[{'7': 3}]
44121918,T14,[{'12': 3}]
44121918,T15,[{'14': 3}]
44121918,T16,[{'7': 3}]
44121918,T17,[{'7': 3}]
44121918,T19,[{'14': 3}]
44121918,T20,[{'14': 3}]
44121918,T21,[{'2': 3}]
44121918,T22,[{'14': 3}]
44121918,T23,[{'9': 3}]
44121918,T25,[{'13': 3}]
44121918,T26,[{'15': 3}]
44121918,T27,[{'7': 3}]
44121918,T28,[{'14': 3}]
44121918,T29,[{'7': 3}]
44121920,T1,[{'8': 3}]
44121920,T2,[{'7': 3}]
44121920,T3,[{'7': 3}]
44121920,T4,[{'8': 3}]
44121920,T5,[{'14': 3}]
44121920,T7,[{'12': 3}]
44121920,T8,[{'2': 3}]
44121920,T9,[{'13': 3}]
44121920,T10,[{'15': 3}]
44121920,T11,[{'12': 3}]
44121920,T13,"[{'10': 2, 'None': 1}]"
44121920,T14,"[{'6': 2, 'None': 1}]"
44121920,T15,"[{'7': 2, 'None': 1}]"
44121920,T16,"[{'2': 2, 'None': 1}]"
44121920,T17,"[{'6': 2, 'None': 1}]"
44121920,T19,"[{'6': 2, 'None': 1}]"
44121920,T20,"[{'14': 2, 'None': 1}]"
44121920,T21,"[{'8': 2, 'None': 1}]"
44121920,T22,"[{'2': 2, 'None': 1}]"
44121920,T23,"[{'13': 2, 'None': 1}]"
44121920,T25,"[{'7': 2, 'None': 1}]"
44121920,T26,"[{'12': 2, 'None': 1}]"
44121920,T27,"[{'10': 2, 'None': 1}]"
44121920,T28,"[{'7': 2, 'None': 1}]"
44121920,T29,"[{'14': 2, 'None': 1}]"
44121922,T1,[{'2': 3}]
44121922,T2,[{'6': 3}]
44121922,T3,[{'7': 3}]
44121922,T4,[{'7': 3}]
44121922,T5,[{'12': 3}]
44121922,T7,[{'10': 3}]
44121922,T8,[{'12': 3}]
44121922,T9,[{'7': 3}]
44121922,T10,[{'6': 3}]
44121922,T11,[{'14': 3}]
44121922,T13,"[{'1': 2, '15': 1}]"
44121922,T14,[{'7': 3}]
44121922,T15,[{'14': 3}]
44121922,T16,[{'8': 3}]
44121922,T17,[{'6': 3}]
44121922,T19,[{'7': 3}]
44121922,T20,[{'15': 3}]
44121922,T21,[{'14': 3}]
44121922,T22,[{'11': 3}]
44121922,T23,[{'14': 3}]
44121922,T25,[{'13': 3}]
44121922,T26,[{'12': 3}]
44121922,T27,[{'10': 3}]
44121922,T28,[{'12': 3}]
44121922,T29,[{'12': 3}]
44121923,T1,[{'8': 3}]
44121923,T2,[{'7': 3}]
44121923,T3,"[{'15': 1, '6': 2}]"
44121923,T4,[{'14': 3}]
44121923,T5,[{'7': 3}]
44121923,T7,[{'7': 3}]
44121923,T8,[{'14': 3}]
44121923,T9,[{'8': 3}]
44121923,T10,[{'14': 3}]
44121923,T11,[{'7': 3}]
44121923,T13,"[{'15': 2, '14': 1}]"
44121923,T14,[{'12': 3}]
44121923,T15,[{'14': 3}]
44121923,T16,[{'12': 3}]
44121923,T17,[{'15': 3}]
44121923,T19,[{'7': 3}]
44121923,T20,[{'14': 3}]
44121923,T21,[{'6': 3}]
44121923,T22,[{'12': 3}]
44121923,T23,[{'14': 3}]
44121923,T25,[{'6': 3}]
44121923,T26,"[{'1': 1, '15': 2}]"
44121923,T27,[{'2': 3}]
44121923,T28,[{'6': 3}]
44121923,T29,[{'14': 3}]
44121925,T1,[{'14': 3}]
44121925,T2,[{'14': 3}]
44121925,T3,[{'14': 3}]
44121925,T4,[{'7': 3}]
44121925,T5,[{'7': 3}]
44121925,T7,[{'2': 3}]
44121925,T8,[{'14': 3}]
44121925,T9,[{'14': 3}]
44121925,T10,"[{'4': 2, '15': 1}]"
44121925,T11,[{'13': 3}]
44121925,T13,[{'7': 3}]
44121925,T14,[{'7': 3}]
44121925,T15,[{'14': 3}]
44121925,T16,[{'10': 3}]
44121925,T17,[{'14': 3}]
44121925,T19,"[{'15': 2, '14': 1}]"
44121925,T20,[{'7': 3}]
44121925,T21,[{'7': 3}]
44121925,T22,[{'7': 3}]
44121925,T23,[{'7': 3}]
44121925,T25,"[{'14': 2, '7': 1}]"
44121925,T26,[{'7': 3}]
44121925,T27,"[{'14': 2, '7': 1}]"
44121925,T28,"[{'14': 2, '7': 1}]"
44121925,T29,[{'7': 3}]
44121926,T1,[{'14': 3}]
44121926,T2,[{'2': 3}]
44121926,T3,[{'14': 3}]
44121926,T4,[{'12': 3}]
44121926,T5,[{'1': 3}]
44121926,T7,[{'7': 3}]
44121926,T8,[{'13': 3}]
44121926,T9,[{'7': 3}]
44121926,T10,[{'2': 3}]
44121926,T11,[{'7': 3}]
44121926,T13,[{'14': 3}]
44121926,T14,"[{'15': 1, '14': 1, '6': 1}]"
44121926,T15,[{'7': 3}]
44121926,T16,"[{'15': 1, '14': 2}]"
44121926,T17,[{'12': 3}]
44121926,T19,[{'12': 3}]
44121926,T20,[{'14': 3}]
44121926,T21,[{'14': 3}]
44121926,T22,[{'11': 3}]
44121926,T23,[{'13': 3}]
44121926,T25,[{'14': 3}]
44121926,T26,[{'14': 3}]
44121926,T27,[{'15': 3}]
44121926,T28,[{'7': 3}]
44121926,T29,[{'8': 3}]
44121927,T1,[{'7': 3}]
44121927,T2,[{'2': 3}]
44121927,T3,"[{'15': 1, '3': 2}]"
44121927,T4,[{'12': 3}]
44121927,T5,[{'7': 3}]
44121927,T7,[{'7': 3}]
44121927,T8,[{'8': 3}]
44121927,T9,[{'13': 3}]
44121927,T10,[{'7': 3}]
44121927,T11,[{'7': 3}]
44121927,T13,[{'13': 3}]
44121927,T14,[{'7': 3}]
44121927,T15,[{'14': 3}]
44121927,T16,[{'7': 3}]
44121927,T17,[{'6': 3}]
44121927,T19,[{'2': 3}]
44121927,T20,[{'14': 3}]
44121927,T21,[{'7': 3}]
44121927,T22,[{'7': 3}]
44121927,T23,"[{'15': 1, '14': 1, '8': 1}]"
44121927,T25,"[{'15': 2, '9': 1}]"
44121927,T26,[{'2': 3}]
44121927,T27,[{'12': 3}]
44121927,T28,[{'7': 3}]
44121927,T29,[{'14': 3}]
44121928,T1,[{'12': 2}]
44121928,T2,[{'7': 2}]
44121928,T3,[{'12': 2}]
44121928,T4,[{'12': 2}]
44121928,T5,[{'14': 2}]
44121928,T7,[{'14': 2}]
44121928,T8,[{'14': 2}]
44121928,T9,[{'7': 2}]
44121928,T10,[{'12': 2}]
44121928,T11,[{'1': 2}]
44121928,T13,[{'14': 2}]
44121928,T14,[{'14': 2}]
44121928,T15,[{'14': 2}]
44121928,T16,[{'6': 2}]
44121928,T17,[{'6': 2}]
44121928,T19,[{'7': 2}]
44121928,T20,[{'14': 2}]
44121928,T21,[{'14': 2}]
44121928,T22,[{'8': 2}]
44121928,T23,[{'7': 2}]
44121928,T25,[{'14': 2}]
44121928,T26,[{'7': 2}]
44121928,T27,[{'14': 2}]
44121928,T28,[{'14': 2}]
44121928,T29,[{'8': 2}]
44290143,T2,[{'7': 3}]
44290143,T3,[{'9': 3}]
44290143,T4,[{'12': 3}]
44290143,T5,[{'14': 3}]
44290143,T7,[{'8': 3}]
44290143,T8,[{'8': 3}]
44290143,T9,"[{'14': 2, '8': 1}]"
44290143,T10,"[{'12': 2, '14': 1}]"
44290143,T11,"[{'7': 2, '12': 1}]"
44290143,T13,"[{'8': 1, '12': 1, '7': 1}]"
44290143,T14,"[{'12': 1, '7': 1, '14': 1}]"
44290143,T15,"[{'7': 1, '8': 1, '12': 1}]"
44290143,T16,"[{'13': 1, '12': 1, 'None': 1}]"
44290143,T17,[{'7': 3}]
44290143,T19,"[{'7': 1, '13': 2}]"
44290143,T20,"[{'9': 1, '7': 2}]"
44290143,T21,"[{'15': 1, '7': 2}]"
44290143,T22,"[{'7': 1, '9': 2}]"
44290143,T23,"[{'13': 1, '15': 2}]"
44290143,T25,[{'7': 3}]
44290143,T26,"[{'7': 1, '13': 2}]"
44290143,T27,"[{'13': 1, '10': 2}]"
44290143,T28,"[{'13': 1, '7': 2}]"
44290143,T29,[{'13': 3}]
44290144,T1,[{'13': 3}]
44290144,T2,[{'13': 3}]
44290144,T3,[{'2': 3}]
44290144,T4,[{'7': 3}]
44290144,T5,[{'7': 3}]
44290144,T7,"[{'8': 1, '14': 2}]"
44290144,T8,[{'15': 3}]
44290144,T9,[{'12': 3}]
44290144,T10,[{'14': 3}]
44290144,T11,[{'7': 3}]
44290144,T13,[{'14': 3}]
44290144,T14,[{'7': 3}]
44290144,T15,[{'7': 3}]
44290144,T16,[{'7': 3}]
44290144,T17,[{'2': 3}]
44290144,T19,[{'13': 3}]
44290144,T20,[{'12': 3}]
44290144,T21,[{'13': 3}]
44290144,T22,[{'7': 3}]
44290144,T23,[{'12': 3}]
44290144,T25,[{'15': 3}]
44290144,T26,"[{'9': 1, '15': 2}]"
44290144,T27,[{'2': 3}]
44290144,T28,[{'2': 3}]
44290144,T29,[{'13': 3}]
44290145,T1,[{'9': 2}]
44290145,T2,[{'7': 2}]
44290145,T3,[{'13': 2}]
44290145,T4,[{'13': 2}]
44290145,T5,[{'13': 2}]
44290145,T7,[{'13': 2}]
44290145,T8,[{'8': 2}]
44290145,T9,[{'14': 2}]
44290145,T10,[{'13': 2}]
44290145,T11,[{'2': 2}]
44290145,T13,"[{'6': 1, '10': 1}]"
44290145,T14,[{'7': 2}]
44290145,T15,[{'7': 2}]
44290145,T16,[{'2': 2}]
44290145,T17,[{'13': 2}]
44290145,T19,[{'2': 2}]
44290145,T20,[{'13': 2}]
44290145,T21,[{'7': 2}]
44290145,T22,[{'13': 2}]
44290145,T23,[{'2': 2}]
44290145,T25,[{'14': 2}]
44290145,T26,[{'13': 2}]
44290145,T27,[{'2': 2}]
44290145,T28,[{'2': 2}]
44290145,T29,[{'7': 2}]
44290146,T1,[{'7': 1}]
44290146,T2,[{'13': 1}]
44290146,T3,[{'14': 1}]
44290146,T4,[{'12': 1}]
44290146,T5,[{'8': 1}]
44290146,T7,[{'15': 1}]
44290146,T8,[{'8': 1}]
44290146,T9,[{'13': 1}]
44290146,T10,[{'15': 1}]
44290146,T11,[{'7': 1}]
44290146,T13,[{'13': 1}]
44290146,T14,[{'12': 1}]
44290146,T15,[{'9': 1}]
44290146,T16,[{'10': 1}]
44290146,T17,[{'8': 1}]
44290146,T19,[{'13': 1}]
44290146,T20,[{'7': 1}]
44290146,T21,[{'7': 1}]
44290146,T22,[{'13': 1}]
44290146,T23,[{'10': 1}]
44290146,T25,[{'7': 1}]
44290146,T26,[{'13': 1}]
44290146,T27,[{'7': 1}]
44290146,T28,[{'14': 1}]
44290146,T29,[{'12': 1}]
44290147,T1,[{'13': 1}]
44290147,T2,[{'7': 1}]
44290147,T3,[{'12': 1}]
44290147,T4,[{'2': 1}]
44290147,T5,[{'2': 1}]
44290147,T7,[{'15': 1}]
44290147,T8,[{'14': 1}]
44290147,T9,[{'14': 1}]
44290147,T10,[{'13': 1}]
44290147,T11,[{'14': 1}]
44290147,T13,[{'2': 1}]
44290147,T14,[{'8': 1}]
44290147,T15,[{'13': 1}]
44290147,T16,[{'8': 1}]
44290147,T17,[{'8': 1}]
44290147,T19,[{'7': 1}]
44290147,T20,[{'8': 1}]
44290147,T21,[{'15': 1}]
44290147,T22,[{'13': 1}]
44290147,T23,[{'14': 1}]
44290147,T25,[{'7': 1}]
44290147,T26,[{'12': 1}]
44290147,T27,[{'7': 1}]
44290147,T28,[{'13': 1}]
44290147,T29,[{'7': 1}]
44290148,T1,[{'7': 1}]
44290148,T2,[{'7': 1}]
44290148,T3,[{'7': 1}]
44290148,T4,[{'14': 1}]
44290148,T5,[{'7': 1}]
44290148,T7,[{'7': 1}]
44290148,T8,[{'8': 1}]
44290148,T9,[{'13': 1}]
44290148,T10,[{'10': 1}]
44290148,T11,[{'12': 1}]
44290148,T13,[{'7': 1}]
44290148,T14,[{'13': 1}]
44290148,T15,[{'13': 1}]
44290148,T16,[{'7': 1}]
44290148,T17,[{'10': 1}]
44290148,T19,[{'8': 1}]
44290148,T20,[{'13': 1}]
44290148,T21,[{'7': 1}]
44290148,T22,[{'12': 1}]
44290148,T23,[{'13': 1}]
44290148,T25,[{'13': 1}]
44290148,T26,[{'7': 1}]
44290148,T27,[{'7': 1}]
44290148,T28,[{'13': 1}]
44290148,T29,[{'12': 1}]
44290149,T1,[{'12': 1}]
44290149,T2,[{'12': 1}]
44290149,T3,[{'14': 1}]
44290149,T4,[{'7': 1}]
44290149,T5,[{'7': 1}]
44290149,T7,[{'13': 1}]
44290149,T8,[{'7': 1}]
44290149,T9,[{'7': 1}]
44290149,T10,[{'7': 1}]
44290149,T11,[{'8': 1}]
44290149,T13,[{'7': 1}]
44290149,T14,[{'10': 1}]
44290149,T15,[{'13': 1}]
44290149,T16,[{'7': 1}]
44290149,T17,[{'6': 1}]
44290149,T19,[{'7': 1}]
44290149,T20,[{'12': 1}]
44290149,T21,[{'7': 1}]
44290149,T22,[{'15': 1}]
44290149,T23,[{'7': 1}]
44290149,T25,[{'13': 1}]
44290149,T26,[{'13': 1}]
44290149,T27,[{'10': 1}]
44290149,T28,[{'7': 1}]
44290149,T29,[{'13': 1}]
44290150,T1,[{'7': 2}]
44290150,T2,[{'12': 2}]
44290150,T3,[{'7': 2}]
44290150,T4,[{'12': 2}]
44290150,T5,[{'7': 2}]
44290150,T7,[{'7': 2}]
44290150,T8,"[{'15': 1, '6': 1}]"
44290150,T9,[{'7': 2}]
44290150,T10,"[{'6': 1, '15': 1}]"
44290150,T11,[{'13': 2}]
44290150,T13,[{'13': 2}]
44290150,T14,[{'7': 2}]
44290150,T15,"[{'15': 1, '9': 1}]"
44290150,T16,[{'14': 2}]
44290150,T17,[{'14': 2}]
44290150,T19,[{'13': 2}]
44290150,T20,[{'7': 2}]
44290150,T21,[{'10': 2}]
44290150,T22,[{'13': 2}]
44290150,T23,[{'7': 2}]
44290150,T25,[{'2': 2}]
44290150,T26,[{'7': 2}]
44290150,T27,[{'13': 2}]
44290150,T28,[{'13': 2}]
44290150,T29,[{'2': 2}]
44290151,T1,[{'15': 1}]
44290151,T2,[{'12': 1}]
44290151,T3,[{'7': 1}]
44290151,T4,[{'7': 1}]
44290151,T5,[{'12': 1}]
44290151,T7,[{'15': 1}]
44290151,T8,[{'2': 1}]
44290151,T9,[{'10': 1}]
44290151,T10,[{'7': 1}]
44290151,T11,[{'12': 1}]
44290151,T13,[{'4': 1}]
44290151,T14,[{'9': 1}]
44290151,T15,[{'7': 1}]
44290151,T16,[{'10': 1}]
44290151,T17,[{'13': 1}]
44290151,T19,[{'9': 1}]
44290151,T20,[{'12': 1}]
44290151,T21,[{'12': 1}]
44290151,T22,[{'11': 1}]
44290151,T23,[{'12': 1}]
44290151,T25,[{'7': 1}]
44290151,T26,[{'13': 1}]
44290151,T27,[{'13': 1}]
44290151,T28,[{'10': 1}]
44290151,T29,[{'7': 1}]
44290152,T1,[{'7': 1}]
44290152,T2,[{'12': 1}]
44290152,T3,[{'12': 1}]
44290152,T4,[{'10': 1}]
44290152,T5,[{'10': 1}]
44290152,T7,[{'13': 1}]
44290152,T8,[{'7': 1}]
44290152,T9,[{'7': 1}]
44290152,T10,[{'2': 1}]
44290152,T11,[{'7': 1}]
44290152,T13,[{'7': 1}]
44290152,T14,[{'7': 1}]
44290152,T15,[{'2': 1}]
44290152,T16,[{'7': 1}]
44290152,T17,[{'14': 1}]
44290152,T19,[{'6': 1}]
44290152,T20,[{'14': 1}]
44290152,T21,[{'7': 1}]
44290152,T22,[{'8': 1}]
44290152,T23,[{'13': 1}]
44290152,T25,[{'7': 1}]
44290152,T26,[{'7': 1}]
44290152,T27,[{'14': 1}]
44290152,T28,[{'14': 1}]
44290152,T29,[{'10': 1}]
44290153,T1,[{'14': 1}]
44290153,T2,[{'10': 1}]
44290153,T3,[{'7': 1}]
44290153,T4,[{'8': 1}]
44290153,T5,[{'13': 1}]
44290153,T7,[{'7': 1}]
44290153,T8,[{'2': 1}]
44290153,T9,[{'7': 1}]
44290153,T10,[{'10': 1}]
44290153,T11,[{'7': 1}]
44290153,T13,[{'14': 1}]
44290153,T14,[{'15': 1}]
44290153,T15,[{'8': 1}]
44290153,T16,[{'6': 1}]
44290153,T17,[{'12': 1}]
44290153,T19,[{'8': 1}]
44290153,T20,[{'12': 1}]
44290153,T21,[{'7': 1}]
44290153,T22,[{'12': 1}]
44290153,T23,[{'7': 1}]
44290153,T25,[{'10': 1}]
44290153,T26,[{'7': 1}]
44290153,T27,[{'7': 1}]
44290153,T28,[{'14': 1}]
44290153,T29,[{'14': 1}]
44290154,T1,[{'13': 1}]
44290154,T2,[{'13': 1}]
44290154,T3,[{'14': 1}]
44290154,T4,[{'7': 1}]
44290154,T5,[{'6': 1}]
44290154,T7,[{'2': 1}]
44290154,T8,[{'9': 1}]
44290154,T9,[{'7': 1}]
44290154,T10,[{'13': 1}]
44290154,T11,[{'10': 1}]
44290154,T13,[{'14': 1}]
44290154,T14,[{'6': 1}]
44290154,T15,[{'13': 1}]
44290154,T16,[{'15': 1}]
44290154,T17,[{'7': 1}]
44290154,T19,[{'13': 1}]
44290154,T20,[{'7': 1}]
44290154,T21,[{'7': 1}]
44290154,T22,[{'2': 1}]
44290154,T23,[{'7': 1}]
44290154,T25,[{'14': 1}]
44290154,T26,[{'14': 1}]
44290154,T27,[{'8': 1}]
44290154,T28,[{'2': 1}]
44290154,T29,[{'10': 1}]
44377680,T1,[{'14': 1}]
44377680,T2,[{'7': 1}]
44377680,T3,[{'14': 1}]
44377680,T4,[{'7': 1}]
44377680,T5,[{'7': 1}]
44377680,T7,[{'14': 1}]
44377680,T8,[{'6': 1}]
44377680,T9,[{'7': 1}]
44377680,T10,[{'7': 1}]
44377680,T11,[{'7': 1}]
44377680,T13,[{'7': 1}]
44377680,T14,[{'14': 1}]
44377680,T15,[{'14': 1}]
44377680,T16,[{'7': 1}]
44377680,T17,[{'12': 1}]
44377680,T19,[{'14': 1}]
44377680,T20,[{'6': 1}]
44377680,T21,[{'6': 1}]
44377680,T22,[{'6': 1}]
44377680,T23,[{'7': 1}]
44377680,T25,[{'6': 1}]
44377680,T26,[{'7': 1}]
44377680,T27,[{'7': 1}]
44377680,T28,[{'7': 1}]
44377680,T29,[{'14': 1}]
44377681,T1,[{'12': 1}]
44377681,T2,[{'6': 1}]
44377681,T3,[{'7': 1}]
44377681,T4,[{'15': 1}]
44377681,T5,[{'14': 1}]
44377681,T7,[{'7': 1}]
44377681,T8,[{'7': 1}]
44377681,T9,[{'12': 1}]
44377681,T10,[{'7': 1}]
44377681,T11,[{'14': 1}]
44377681,T13,[{'7': 1}]
44377681,T14,[{'14': 1}]
44377681,T15,[{'7': 1}]
44377681,T16,[{'9': 1}]
44377681,T17,[{'7': 1}]
44377681,T19,[{'12': 1}]
44377681,T20,[{'7': 1}]
44377681,T21,[{'14': 1}]
44377681,T22,[{'15': 1}]
44377681,T23,[{'12': 1}]
44377681,T25,[{'7': 1}]
44377681,T26,[{'15': 1}]
44377681,T27,[{'7': 1}]
44377681,T28,[{'7': 1}]
44377681,T29,[{'13': 1}]
44377682,T1,[{'13': 1}]
44377682,T2,[{'12': 1}]
44377682,T3,[{'12': 1}]
44377682,T4,[{'7': 1}]
44377682,T5,[{'7': 1}]
44377682,T7,[{'15': 1}]
44377682,T8,[{'15': 1}]
44377682,T9,[{'6': 1}]
44377682,T10,[{'12': 1}]
44377682,T11,[{'6': 1}]
44377682,T13,[{'15': 1}]
44377682,T14,[{'6': 1}]
44377682,T15,[{'7': 1}]
44377682,T16,[{'6': 1}]
44377682,T17,[{'7': 1}]
44377682,T19,[{'12': 1}]
44377682,T20,[{'7': 1}]
44377682,T21,[{'15': 1}]
44377682,T22,[{'2': 1}]
44377682,T23,[{'7': 1}]
44377682,T25,[{'12': 1}]
44377682,T26,[{'7': 1}]
44377682,T27,[{'6': 1}]
44377682,T28,[{'12': 1}]
44377682,T29,[{'12': 1}]
